id;Equipement;Groupe;Ty pesous-groupe;prix;unite;qte
1;Chauffe-eau SYN2000V6 C5B 2000;Appareil;Chauffe-eau;0;pce;0
2;Collecteur 2 groupes DN 50/DN 80 + Primaires DN 100;Appareil;Collecteur;0;pce;0
3;Compteur de chaleur NeoVac;Appareil;Compteur de chaleur;0;pce;0
4;"Echangeur Swep 260 kW  B35TM0x80/1P-SC-S 4x2""";Appareil;Echangeur;0;pce;0
5;Expansion CU 500.6 Vase pilote;Appareil;Expansion;0;pce;0
6;Expansion C 10.1-6 F Connect box;Appareil;Expansion;0;pce;0
7;Expansion Vento V 6.1 EC connect;Appareil;Expansion;0;pce;0
8;Expansion Pleno P BA4R;Appareil;Expansion;0;pce;0
9;Expansion SD 35.3;Appareil;Expansion;0;pce;0
10;Pompe de circulation MAGNA3 32-80 F;Appareil;Pompe de circulation;0;pce;0
11;Pompe de circulation ALPHA3 25-60 180;Appareil;Pompe de circulation;0;pce;0
12;Pompe de circulation MAGNA3 50-150 F;Appareil;Pompe de circulation;0;pce;0
13;Pompe de circulation MAGNA3 65-100 F;Appareil;Pompe de circulation;0;pce;0
14;Pompe de circulation ALPHA3 25-40 180;Appareil;Pompe de circulation;0;pce;0
15;Pompe de circulation MAGNA3 32-40;Appareil;Pompe de circulation;0;pce;0
16;Pompe de circulation MAGNA3 50-40 F;Appareil;Pompe de circulation;0;pce;0
17;Pompe de circulation ALPHA3 32-40 180;Appareil;Pompe de circulation;0;pce;0
18;Pompe de circulation TPE3 40-470 S-A-F-A-BQQE-KWC;Appareil;Pompe de circulation;0;pce;0
19;"Tuyau 3/8""";Conduites;Tuyau;0;m;0
20;"Tuyau 1/2""";Conduites;Tuyau;0;m;0
21;"Tuyau 3/4""";Conduites;Tuyau;0;m;0
22;"Tuyau 1""";Conduites;Tuyau;0;m;0
23;"Tuyau 5/4""";Conduites;Tuyau;0;m;0
24;"Tuyau 11/2""";Conduites;Tuyau;0;m;0
25;"Tuyau 2""";Conduites;Tuyau;0;m;0
26;Tuyau DN 65;Conduites;Tuyau;0;m;0
27;Tuyau DN 80;Conduites;Tuyau;0;m;0
28;Tuyau DN 100 100/108;Conduites;Tuyau;0;m;0
29;Tuyau DN 100 107/114;Conduites;Tuyau;0;m;0
30;Tuyau DN 125;Conduites;Tuyau;0;m;0
31;Tuyau DN 150;Conduites;Tuyau;0;m;0
32;Tuyau DN 175;Conduites;Tuyau;0;m;0
33;Tuyau DN 200;Conduites;Tuyau;0;m;0
34;Moteur NV24A-MOD;Régulation;Moteur;0;pce;0
35;Moteur CQ24A-MPL;Régulation;Moteur;0;pce;0
36;Moteur NV24A-MOD;Régulation;Moteur;0;pce;0
37;Vanne 2 voies EV065F+ BAC;Régulation;Vanne 2 voies;0;pce;0
38;Vanne 2 voies EV050F+ BAC;Régulation;Vanne 2 voies;0;pce;0
39;Vanne 2 voies EV050R2+BAC;Régulation;Vanne 2 voies;0;pce;0
40;Vanne 2 voies C215QPT-B;Régulation;Vanne 2 voies;0;pce;0
41;Vanne 2 voies C220QPT-F;Régulation;Vanne 2 voies;0;pce;0
42;Vanne 3 voies H540B;Régulation;Vanne 3 voies;0;pce;0
43;Vanne 3 voies H765S;Régulation;Vanne 3 voies;0;pce;0
44;Bouteille DN 100;Robinetterie;Bouteille;0;pce;0
45;Bouteille DN 80;Robinetterie;Bouteille;0;pce;0
46;Bouteille DN 65;Robinetterie;Bouteille;0;pce;0
47;Différentiel de pression Danfoss AVDO;Robinetterie;Différentiel de pression;0;pce;0
48;Zeparo Cyclone ZCHM 40-50;Robinetterie;Filtre;0;pce;0
49;Filtre Zeparo G-FORCE ZGM 100;Robinetterie;Filtre;0;pce;0
50;Filtre Zeparo cyclone DN 50;Robinetterie;Filtre;0;pce;0
51;Soupape décharge AVDSA 25 PN16;Robinetterie;Soup. Décharge;0;pce;0
52;Soup. Sécurité DG/H swiss DN 25 4.0 bar;Robinetterie;Soup. Sécurité;0;pce;0
53;Soup. Sécurité DG/Hswiss DN 20 2.0 bar;Robinetterie;Soup. Sécurité;0;pce;0
54;Soupape Réglage débit DN65;Robinetterie;Soupape Réglage débit;0;pce;0
55;Soupape Réglage débit DN80;Robinetterie;Soupape Réglage débit;0;pce;0
56;Vanne d’arret  DN 100;Robinetterie;Vanne d’arret;0;pce;0
57;Vanne d’arret  DN 80;Robinetterie;Vanne d’arret;0;pce;0
58;Vanne d’arret  DN 65;Robinetterie;Vanne d’arret;0;pce;0
