id;code;Désignation;G01_A_m2;G02_ qint_°C;G03_qe,0_°C;G04_ FT_W;G05_ FV_W;G06_ Fg_W;G07_ FHL_W;G08_fapostehl_W/m2;G09_nmin_h-1;etage_id
1;A-301;Zone accueil;48.6;21;-6.4;656;113;0;769;16;0.1;3
2;A-302;Bureau de soins;40.1;21;-6.4;713;92;0;804;20;0.1;3
3;A-303;Séjour 1;48.7;21;-6.4;963;113;0;1077;22;0.1;3
4;A-304;Chambre 1;20;21;-6.4;317;47;0;364;18;0.1;3
5;A-304wc;WC1;5.1;21;-6.4;19;0;0;19;4;0;3
6;A-305;Chambre 2;20;21;-6.4;317;47;0;364;18;0.1;3
7;A-305wc;WC2;5.2;21;-6.4;19;0;0;19;4;0;3
8;A-306;Chambre 3;20;21;-6.4;317;47;0;364;18;0.1;3
9;A-306wc;WC3;5.1;21;-6.4;19;0;0;19;4;0;3
10;A-307;Chambre 4;20;21;-6.4;317;47;0;364;18;0.1;3
11;A-307wc;WC4;5.2;21;-6.4;19;0;0;19;4;0;3
12;A-308;Chambre 5;20;21;-6.4;317;47;0;364;18;0.1;3
13;A-308wc;WC5;5.1;21;-6.4;19;0;0;19;4;0;3
14;A-309;Chambre 6;20;21;-6.4;317;47;0;364;18;0.1;3
15;A-309wc;WC6;5.2;21;-6.4;19;0;0;19;4;0;3
16;A-310;Chambre 7;20;21;-6.4;317;47;0;364;18;0.1;3
106;A-201;Zone accueil;48.6;21;-6.4;423;113;0;536;11;0.1;2
107;A-202;Bureau de soins;40.1;21;-6.4;526;92;0;617;15;0.1;2
108;A-203;Séjour 1;48.7;21;-6.4;712;113;0;825;17;0.1;2
109;A-204;Chambre 1;20;21;-6.4;223;47;0;270;13;0.1;2
110;A-204wc;WC1;5.1;21;-6.4;0;0;0;0;0;0;2
111;A-205;Chambre 2;20;21;-6.4;223;47;0;270;13;0.1;2
112;A-205wc;WC2;5.2;21;-6.4;0;0;0;0;0;0;2
113;A-206;Chambre 3;20;21;-6.4;223;47;0;270;13;0.1;2
114;A-206wc;WC3;5.1;21;-6.4;0;0;0;0;0;0;2
115;A-207;Chambre 4;20;21;-6.4;223;47;0;270;13;0.1;2
116;A-207wc;WC4;5.2;21;-6.4;0;0;0;0;0;0;2
117;A-208;Chambre 5;20;21;-6.4;223;47;0;270;13;0.1;2
118;A-208wc;WC5;5.1;21;-6.4;0;0;0;0;0;0;2
119;A-209;Chambre 6;20;21;-6.4;223;47;0;270;13;0.1;2
120;A-209wc;WC6;5.2;21;-6.4;0;0;0;0;0;0;2
121;A-210;Chambre 7;20;21;-6.4;223;47;0;270;13;0.1;2
210;A-101;Zone accueil;48.6;21;-6.4;423;113;0;536;11;0.1;1
211;A-102;Bureau de soins;40.1;21;-6.4;526;92;0;617;15;0.1;1
212;A-103;Séjour 1;48.7;21;-6.4;712;113;0;825;17;0.1;1
213;A-104;Chambre 1;20;21;-6.4;223;47;0;270;13;0.1;1
214;A-104wc;WC1;5.1;21;-6.4;0;0;0;0;0;0;1
215;A-105;Chambre 2;20;21;-6.4;223;47;0;270;13;0.1;1
216;A-105wc;WC2;5.2;21;-6.4;0;0;0;0;0;0;1
217;A-106;Chambre 3;20;21;-6.4;223;47;0;270;13;0.1;1
218;A-106wc;WC3;5.1;21;-6.4;0;0;0;0;0;0;1
219;A-107;Chambre 4;20;21;-6.4;223;47;0;270;13;0.1;1
220;A-107wc;WC4;5.2;21;-6.4;0;0;0;0;0;0;1
221;A-108;Chambre 5;20;21;-6.4;223;47;0;270;13;0.1;1
222;A-108wc;WC5;5.1;21;-6.4;0;0;0;0;0;0;1
223;A-109;Chambre 6;20;21;-6.4;223;47;0;270;13;0.1;1
224;A-109wc;WC6;5.2;21;-6.4;0;0;0;0;0;0;1
225;A-110;Chambre 7;20;21;-6.4;223;47;0;270;13;0.1;1
226;A-110wc;WC7;5.2;21;-6.4;0;0;0;0;0;0;1
227;A-111;Chambre 8;20;21;-6.4;223;47;0;270;13;0.1;1
228;A-111wc;WC8;5.2;21;-6.4;0;0;0;0;0;0;1
229;A-112;Chambre 9;20;21;-6.4;223;47;0;270;13;0.1;1
230;A-112wc;WC9;5.2;21;-6.4;0;0;0;0;0;0;1
231;A-113;Chambre 10;20;21;-6.4;223;47;0;270;13;0.1;1
232;A-113wc;WC10;5.2;21;-6.4;0;0;0;0;0;0;1
233;A-114;Chambre 11;20;21;-6.4;223;47;0;270;13;0.1;1
234;A-114wc;WC11;5.2;21;-6.4;0;0;0;0;0;0;1
235;A-115;Chambre 12;20;21;-6.4;223;47;0;270;13;0.1;1
236;A-115wc;WC12;5.2;21;-6.4;0;0;0;0;0;0;1
237;A-116;Chambre 13;20;21;-6.4;223;47;0;270;13;0.1;1
238;A-116wc;WC13;5.2;21;-6.4;0;0;0;0;0;0;1
239;A-117;Chambre 14;20;21;-6.4;223;47;0;270;13;0.1;1
240;A-117wc;WC14;5.2;21;-6.4;0;0;0;0;0;0;1
241;A-118;Chambre 15;20;21;-6.4;223;47;0;270;13;0.1;1
242;A-118wc;WC15;5.2;21;-6.4;0;0;0;0;0;0;1
243;A-119;Chambre 16;20;21;-6.4;223;47;0;270;13;0.1;1
244;A-119wc;WC16;5.2;21;-6.4;0;0;0;0;0;0;1
245;A-120;Chambre 17;20;21;-6.4;223;47;0;270;13;0.1;1
246;A-120wc;WC17;5.2;21;-6.4;0;0;0;0;0;0;1
247;A-121;Chambre 18;22.7;21;-6.4;324;53;0;377;17;0.1;1
248;A-121wc;WC18;5.2;21;-6.4;0;0;0;0;0;0;1
249;A-122;Séjour 2 ;67.4;21;-6.4;652;157;0;809;12;0.1;1
250;A-123;Chambre 19;22.7;21;-6.4;324;53;0;377;17;0.1;1
251;A-123wc;WC19;5.2;21;-6.4;0;0;0;0;0;0;1
252;A-124;Chambre 20;20;21;-6.4;223;47;0;270;13;0.1;1
253;A-124wc;WC20;5.2;21;-6.4;0;0;0;0;0;0;1
254;A-125;Chambre 21;20;21;-6.4;223;47;0;270;13;0.1;1
255;A-125wc;WC21;5.2;21;-6.4;0;0;0;0;0;0;1
256;A-126;Chambre 22;20;21;-6.4;223;47;0;270;13;0.1;1
257;A-126wc;WC22;5.2;21;-6.4;0;0;0;0;0;0;1
258;A-127;Chambre 23;20;21;-6.4;223;47;0;270;13;0.1;1
259;A-127wc;WC23;5.2;21;-6.4;0;0;0;0;0;0;1
260;A-128;Chambre 24;20;21;-6.4;223;47;0;270;13;0.1;1
261;A-128wc;WC24;5.2;21;-6.4;0;0;0;0;0;0;1
262;A-129;Chambre 25;20;21;-6.4;223;47;0;270;13;0.1;1
263;A-129wc;WC25;5.2;21;-6.4;0;0;0;0;0;0;1
264;A-130;Salle à manger;50.3;21;-6.4;544;117;0;661;13;0.1;1
265;A-131;Salle à manger;49.9;21;-6.4;536;116;0;652;13;0.1;1
266;A-132;Chambre 8;20;21;-6.4;223;47;0;270;13;0.1;1
267;A-132wc;WC8;5.2;21;-6.4;0;0;0;0;0;0;1
268;A-133;Chambre 7;20;21;-6.4;223;47;0;270;13;0.1;1
269;A-133wc;WC7;5.2;21;-6.4;0;0;0;0;0;0;1
270;A-134;Chambre 6;20;21;-6.4;223;47;0;270;13;0.1;1
271;A-134wc;WC6;5.2;21;-6.4;0;0;0;0;0;0;1
272;A-135;Chambre 5;20;21;-6.4;223;47;0;270;13;0.1;1
273;A-135wc;WC5;5.2;21;-6.4;0;0;0;0;0;0;1
274;A-136;Chambre 4;20;21;-6.4;223;47;0;270;13;0.1;1
275;A-136wc;WC4;5.2;21;-6.4;0;0;0;0;0;0;1
276;A-137;Bureau interprofessionnel;27;21;-6.4;235;63;0;298;11;0.1;1
277;A-138;Dépôt unité d'acc.;17;18;-6.4;0;0;0;0;0;0;1
278;A-139;Dépôt unité d'acc.;21.4;18;-6.4;0;44;0;44;2;0.1;1
279;A-140;Local électrique;5.2;18;-6.4;0;0;0;0;0;0;1
280;A-141;Vidoir linge sale;19.2;21;-6.4;12;0;0;12;1;0;1
281;A-142;Salle de bains thérapeuthique;25.7;21;-6.4;0;0;0;0;0;0;1
282;A-143;Dépôt matériel;11.4;21;-6.4;0;0;0;0;0;0;1
283;A-144;Local nettoyage;10.9;18;-6.4;0;0;0;0;0;0;1
284;A-145;Linge propre 1;16.6;18;-6.4;0;0;0;0;0;0;1
285;A-146;Linge sale 2 ;19.2;21;-6.4;0;0;0;0;0;0;1
286;A-147;A-357;4;21;-6.4;0;0;0;0;0;0;1
287;A-148;WC hand.;5.1;21;-6.4;0;0;0;0;0;0;1
288;A-149;Wc hand.;5.2;21;-6.4;0;0;0;0;0;0;1
289;A-151;Tisanerie;19.2;21;-6.4;11;0;0;11;1;0;1
290;A-152;Dépôt matériel aux. 2;22.1;18;-6.4;0;0;0;0;0;0;1
291;A-153;Bureau de soins 2;21.7;21;-6.4;6;0;0;6;0;0;1
293;A-155;Local électrique;4.8;18;-6.4;0;0;0;0;0;0;1
313;A-001;Accueil;16.3;21;-6.4;218;53;0;271;17;0.1;0
314;A-002;Secrétariat;16.3;21;-6.4;236;53;0;289;18;0.1;0
315;A-003;Direction ;17.9;21;-6.4;267;58;0;325;18;0.1;0
316;A-004;Comptabilité;17.6;21;-6.4;243;57;0;300;17;0.1;0
317;A-005;Salle de réunion;20.1;21;-6.4;692;65;0;757;38;0.1;0
318;A-006;wc. H;19.5;21;-6.4;273;64;0;336;17;0.1;0
319;A-007;Wc hand.;4.1;21;-6.4;0;0;0;0;0;0;0
320;A-008;wc. H;10.8;21;-6.4;0;0;0;0;0;0;0
321;A-009;Cuisine chaude;38;21;-6.4;306;124;0;430;11;0.1;0
322;A-010;Cuisine diétique;8.8;21;-6.4;0;0;0;0;0;0;0
323;A-011;Patisserie;30.7;21;-6.4;276;100;0;376;12;0.1;0
384;A-9901;Pharmacie centrale;41.1;21;-6.4;303;0;0;303;7;0;9
385;A-9902;Salle de recueillement;35.8;21;-6.4;439;0;0;439;12;0;9
386;A-9903;Salon;16.4;21;-6.4;107;0;0;107;6;0;9
387;A-9904;Crypte 1;21.6;21;-6.4;129;0;0;129;6;0;9
388;A-9905;Crypte 2;19.1;21;-6.4;117;0;0;117;6;0;9
389;A-9906;Crypte 3;19.1;21;-6.4;117;0;0;117;6;0;9
390;A-9907;Crypte 4;19.1;21;-6.4;117;0;0;117;6;0;9
391;A-9908;Crypte 5;19.1;21;-6.4;151;0;0;151;8;0;9
392;A-9912;Vestiaires femmes ;95.7;21;-6.4;811;0;0;811;8;0;9
393;A-9912a;Vestiaires femmes WC;21.2;21;-6.4;184;0;0;184;9;0;9
394;A-9913;Vestiaires hommes;45.2;21;-6.4;365;0;0;365;8;0;9
395;A-9913a;Vestiaires hommes WC;19;21;-6.4;163;0;0;163;9;0;9
396;A-9915;Local nettoyage;14;21;-6.4;82;0;0;82;6;0;9
397;A-9916;WC hand.;4.1;21;-6.4;25;0;0;25;6;0;9
398;A-9917;WC H;8.8;21;-6.4;55;0;0;55;6;0;9
399;A-9918;Dépôt habits du personnel;29.3;21;-6.4;162;0;0;162;6;0;9
400;A-9919;Morgue;42.5;21;-6.4;270;0;0;270;6;0;9
